package,*,version,date,source,github,force
DBI,*,0.3.1,2014-09-24,CRAN (R 3.1.1),NA,F
MASS,*,7.3-40,2015-03-21,CRAN (R 3.1.3),NA,F
Matrix,,1.2-0,2015-04-04,CRAN (R 3.1.3),NA,F
R6,*,2.0.1,2014-10-29,CRAN (R 3.1.2),NA,F
RColorBrewer,*,1.1-2,2014-12-07,CRAN (R 3.1.2),NA,F
Rcpp,*,0.11.5,2015-03-06,CRAN (R 3.1.3),NA,F
RcppParallel,*,4.3.8,2015-04-14,CRAN (R 3.1.3),NA,F
assertthat,*,0.1,2013-12-06,CRAN (R 3.1.0),NA,F
base64enc,*,0.1-2,2014-06-26,CRAN (R 3.1.0),NA,F
colorspace,*,1.2-6,2015-03-11,CRAN (R 3.1.3),NA,F
devtools,*,1.7.0,2015-01-17,CRAN (R 3.1.2),NA,F
digest,*,0.6.8,2014-12-31,CRAN (R 3.1.2),NA,F
dplyr,,0.4.1,2015-01-14,CRAN (R 3.1.2),NA,F
gdistance,,1.1-7,2015-03-11,CRAN (R 3.1.3),NA,F
ggplot2,,1.0.1,2015-03-17,CRAN (R 3.1.3),NA,F
gtable,*,0.1.2,2012-12-05,CRAN (R 3.1.0),NA,F
htmlwidgets,*,0.4,2015-05-18,CRAN (R 3.1.3),NA,F
httpuv,*,1.3.2,2014-10-23,CRAN (R 3.1.2),NA,F
igraph,,0.7.1,2014-04-22,CRAN (R 3.1.2),NA,F
jsonlite,*,0.9.16,2015-04-11,CRAN (R 3.1.3),NA,F
labeling,*,0.3,2014-08-23,CRAN (R 3.1.1),NA,F
lattice,*,0.20-31,2015-03-30,CRAN (R 3.1.3),NA,F
lazyeval,*,0.1.10,2015-01-02,CRAN (R 3.1.2),NA,F
magrittr,*,1.5,2014-11-22,CRAN (R 3.1.2),NA,F
markdown,,0.7.7,2015-04-22,CRAN (R 3.1.3),NA,F
mime,*,0.3,2015-03-29,CRAN (R 3.1.3),NA,F
munsell,*,0.4.2,2013-07-11,CRAN (R 3.1.0),NA,F
plyr,*,1.8.2,2015-04-21,CRAN (R 3.1.3),NA,F
png,*,0.1-7,2013-12-03,CRAN (R 3.1.0),NA,F
proto,*,0.3-10,2012-12-22,CRAN (R 3.1.0),NA,F
raster,,2.3-40,2015-04-11,CRAN (R 3.1.3),NA,F
readr,,0.1.1,2015-05-29,CRAN (R 3.1.3),NA,F
reshape2,*,1.4.1,2014-12-06,CRAN (R 3.1.2),NA,F
rgdal,,0.8-16,2014-02-07,CRAN (R 3.1.0),NA,F
rstudioapi,*,0.3.1,2015-04-07,CRAN (R 3.1.3),NA,F
shiny,,0.12.0,2015-05-18,CRAN (R 3.1.3),NA,F
sp,,1.0-17,2015-01-08,CRAN (R 3.1.2),NA,F
stringi,*,0.4-1,2014-12-14,CRAN (R 3.1.2),NA,F
stringr,,1.0.0,2015-04-30,CRAN (R 3.1.3),NA,F
xtable,*,1.7-4,2014-09-12,CRAN (R 3.1.1),NA,F
yaml,*,2.1.13,2014-06-12,CRAN (R 3.1.0),NA,F
ggvis,,0.4.1.9000,2015-06-10,Github (rstudio/ggvis@d2a2a36),rstudio/ggvis@d2a2a36,F
htmltools,,0.2.6,2014-09-18,Github (rstudio/htmltools@097ce08),rstudio/htmltools@097ce08,F
rasterfaster,,0.1,2015-05-28,Github (jcheng5/rasterfaster@7d00a09),jcheng5/rasterfaster@7d00a09,F
scales,,0.2.4.99,2015-06-04,Github (hadley/scales@f0f93ac),hadley/scales@f0f93ac,F
shinyjs,,0.0.6.4,2015-06-10,Github (daattali/shinyjs@b1781ed),daattali/shinyjs@b1781ed,F
leaflet,,0.0.16,2015-06-10,Github (rstudio/leaflet@00d02b8),rstudio/leaflet@00d02b8,T
